"DATE","WY","LOK.stage"
2015-05-01,2016,13.84
2015-05-02,2016,13.8
2015-05-03,2016,13.77
2015-05-04,2016,13.74
2015-05-05,2016,13.72
2015-05-06,2016,13.71
2015-05-07,2016,13.69
2015-05-08,2016,13.68
2015-05-09,2016,13.64
2015-05-10,2016,13.59
2015-05-11,2016,13.56
2015-05-12,2016,13.52
2015-05-13,2016,13.49
2015-05-14,2016,13.45
2015-05-15,2016,13.4
2015-05-16,2016,13.35
2015-05-17,2016,13.31
2015-05-18,2016,13.27
2015-05-19,2016,13.23
2015-05-20,2016,13.17
2015-05-21,2016,13.12
2015-05-22,2016,13.08
2015-05-23,2016,13.05
2015-05-24,2016,13.02
2015-05-25,2016,12.99
2015-05-26,2016,12.94
2015-05-27,2016,12.87
2015-05-28,2016,12.81
2015-05-29,2016,12.76
2015-05-30,2016,12.73
2015-05-31,2016,12.69
2015-06-01,2016,12.66
2015-06-02,2016,12.64
2015-06-03,2016,12.66
2015-06-04,2016,12.63
2015-06-05,2016,12.6
2015-06-06,2016,12.58
2015-06-07,2016,12.57
2015-06-08,2016,12.54
2015-06-09,2016,12.51
2015-06-10,2016,12.53
2015-06-11,2016,12.62
2015-06-12,2016,12.62
2015-06-13,2016,12.62
2015-06-14,2016,12.61
2015-06-15,2016,12.6
2015-06-16,2016,12.58
2015-06-17,2016,12.56
2015-06-18,2016,12.54
2015-06-19,2016,12.5
2015-06-20,2016,12.47
2015-06-21,2016,12.45
2015-06-22,2016,12.41
2015-06-23,2016,12.38
2015-06-24,2016,12.34
2015-06-25,2016,12.29
2015-06-26,2016,12.26
2015-06-27,2016,12.25
2015-06-28,2016,12.23
2015-06-29,2016,12.2
2015-06-30,2016,12.2
2015-07-01,2016,12.21
2015-07-02,2016,12.18
2015-07-03,2016,12.16
2015-07-04,2016,12.14
2015-07-05,2016,12.11
2015-07-06,2016,12.14
2015-07-07,2016,12.13
2015-07-08,2016,12.13
2015-07-09,2016,12.13
2015-07-10,2016,12.11
2015-07-11,2016,12.09
2015-07-12,2016,12.07
2015-07-13,2016,12.04
2015-07-14,2016,12.01
2015-07-15,2016,11.99
2015-07-16,2016,11.98
2015-07-17,2016,11.98
2015-07-18,2016,12
2015-07-19,2016,11.99
2015-07-20,2016,11.99
2015-07-21,2016,11.99
2015-07-22,2016,11.99
2015-07-23,2016,12.01
2015-07-24,2016,12.04
2015-07-25,2016,12.08
2015-07-26,2016,12.13
2015-07-27,2016,12.14
2015-07-28,2016,12.14
2015-07-29,2016,12.15
2015-07-30,2016,12.17
2015-07-31,2016,12.18
2015-08-01,2016,12.23
2015-08-02,2016,12.25
2015-08-03,2016,12.28
2015-08-04,2016,12.29
2015-08-05,2016,12.29
2015-08-06,2016,12.29
2015-08-07,2016,12.29
2015-08-08,2016,12.29
2015-08-09,2016,12.28
2015-08-10,2016,12.27
2015-08-11,2016,12.27
2015-08-12,2016,12.27
2015-08-13,2016,12.29
2015-08-14,2016,12.38
2015-08-15,2016,12.42
2015-08-16,2016,12.49
2015-08-17,2016,12.49
2015-08-18,2016,12.52
2015-08-19,2016,12.54
2015-08-20,2016,12.58
2015-08-21,2016,12.58
2015-08-22,2016,12.6
2015-08-23,2016,12.64
2015-08-24,2016,12.63
2015-08-25,2016,12.66
2015-08-26,2016,12.68
2015-08-27,2016,12.72
2015-08-28,2016,12.79
2015-08-29,2016,12.87
2015-08-30,2016,12.95
2015-08-31,2016,13.02
2015-09-01,2016,13.08
2015-09-02,2016,13.13
2015-09-03,2016,13.17
2015-09-04,2016,13.21
2015-09-05,2016,13.26
2015-09-06,2016,13.32
2015-09-07,2016,13.4
2015-09-08,2016,13.45
2015-09-09,2016,13.51
2015-09-10,2016,13.56
