"Date","OtherLOKInflow","FEC","Istok","S65E","S65EX1","S354","S351","S352","S271","S77","S79","S80","S308","WCA1","WCA2","WCA3","S10s","S11s","S12s","S333","S333N","S356","S155A","LOK.stage","ENP","S355A","S355B","L29Canal.map"
2025-06-27,154,54,0,252,0,0,335,143,0,0,236,0,-156,88,106,387,0,0,5,256,0,0,60,10.96,261,0,0,7.12
2025-06-28,0,60,102,258,0,0,0,275,37,390,244,0,-100,57,59,524,0,0,5,260,0,0,58,10.96,265,0,0,7.12
2025-06-29,39,66,150,260,0,0,0,0,-39,126,680,0,-238,65,80,389,0,0,7,237,0,0,57,11.07,244,0,0,7.11
2025-06-30,81,80,57,346,0,0,0,0,-63,0,722,0,-682,83,111,350,0,0,8,211,0,0,138,11.17,219,0,0,7.09
2025-07-01,471,86,268,331,0,0,0,0,-59,0,872,0,-855,60,192,384,0,0,8,226,0,0,218,11.2,234,0,0,7.1
2025-07-02,291,105,166,414,0,0,0,0,0,0,2596,0,0,211,292,420,0,0,11,297,1,0,244,11.24,309,0,0,7.14
2025-07-03,485,219,652,373,0,0,0,4,-40,0,2698,0,-840,425,1743,445,0,0,14,316,15,0,261,11.32,345,0,0,7.19
2025-07-04,435,237,2037,526,0,0,0,3,-50,0,4458,0,-690,438,1635,416,0,0,16,317,20,0,271,11.36,353,0,0,7.22
2025-07-05,803,222,1625,511,0,0,0,0,0,0,3120,0,-604,432,1857,377,0,0,0,293,14,0,263,11.39,0,0,0,7.22
2025-07-06,161,232,1025,579,0,0,0,0,0,0,3048,0,-527,364,1619,455,0,0,0,310,11,0,158,11.41,0,0,0,7.24
2025-07-07,435,233,859,655,0,0,0,0,0,0,1601,0,-333,620,1585,344,0,0,0,369,38,0,0,11.45,0,0,0,7.29
2025-07-08,121,221,904,716,0,0,0,0,39,0,1407,0,0,696,1503,319,0,0,0,395,60,0,15,11.47,0,0,0,7.32
2025-07-09,110,213,904,758,0,0,0,0,0,0,2256,0,-48,757,768,313,0,0,23,359,60,2,38,11.49,440,0,0,7.31
2025-07-10,11,210,505,795,0,0,0,0,0,0,1577,0,0,718,94,489,0,0,20,361,55,0,39,11.48,436,0,0,7.3
2025-07-11,0,219,398,959,0,0,0,0,0,0,1176,0,-272,584,114,533,0,0,20,419,63,0,39,11.49,502,0,0,7.35
2025-07-12,0,264,533,907,0,0,0,0,0,0,1957,0,-425,786,284,872,0,0,0,433,83,0,25,11.52,0,0,0,7.36
2025-07-13,0,326,916,1035,0,0,0,0,46,0,1886,0,-481,564,1661,664,0,0,0,400,123,0,2,11.53,0,0,0,7.36
2025-07-14,1204,552,1486,1045,0,0,0,0,0,0,3559,0,-459,816,1657,489,0,0,0,382,153,5,246,11.67,0,0,0,7.4
2025-07-15,1208,635,1895,1145,0,0,0,0,-66,0,4070,0,-658,671,1748,508,0,0,82,391,190,13,219,11.76,650,0,0,7.51
2025-07-16,671,851,1894,1051,0,0,0,0,-50,0,3485,0,-612,732,2447,510,0,0,97,343,199,61,91,11.81,578,0,0,7.55
2025-07-17,736,1006,1749,1079,0,0,0,0,0,0,2998,0,-112,545,2742,644,0,0,795,179,349,61,52,11.85,1262,0,0,7.55
